image;ground_truth;prediction;CER_score;CER_formula
test015_1.jpg;AD 1798 BT;AD 1798 BT;0.0;CER = (0 + 0 + 0) / 10
test016_1.jpg;E 1517 DQ;E 1517 DO;0.1111;CER = (1 + 0 + 0) / 9
test017_1.jpg;AD 8982 FS;AD 8982 FS;0.0;CER = (0 + 0 + 0) / 10
test018_1.jpg;L 7603 UA;L7603UA;0.2222;CER = (0 + 2 + 0) / 9
test019_1.jpg;AD 7 HS;AD7HS2226;0.8571;CER = (0 + 2 + 4) / 7
test019_2.jpg;B 1959 WYK;B 1959 WYK;0.0;CER = (0 + 0 + 0) / 10
test020_1.jpg;AG 8634 EK;AC 8634 LK;0.2;CER = (2 + 0 + 0) / 10
test020_2.jpg;AD 1329 PY;AD 1328 PY;0.1;CER = (1 + 0 + 0) / 10
test021_1.jpg;BA 1709 DW;BA 1709 DW;0.0;CER = (0 + 0 + 0) / 10
test021_2.jpg;W 1236 VZ;W1236VZ;0.2222;CER = (0 + 2 + 0) / 9
test022_1.jpg;W 1825 OZ;W 1825 OZ;0.0;CER = (0 + 0 + 0) / 9
test022_2.jpg;L 1202 UE;L·1202 UE;0.1111;CER = (1 + 0 + 0) / 9
test022_3.jpg;L 3823 IB;L382310;0.4444;CER = (2 + 2 + 0) / 9
test023_1.jpg;B 1730 JLO;B1730 JLQ;0.2;CER = (1 + 1 + 0) / 10
test024_1.jpg;B 2964 TRU;B 2964 TRU;0.0;CER = (0 + 0 + 0) / 10
test025_1.jpg;S 5585 LP;5585 LP;0.2222;CER = (0 + 2 + 0) / 9
test025_2.jpg;L 2858 RR;L2858RR;0.2222;CER = (0 + 2 + 0) / 9
test025_3.jpg;W 1185 ZO;W1185Z0;0.3333;CER = (1 + 2 + 0) / 9
test025_4.jpg;9840 VU;9840 VU;0.0;CER = (0 + 0 + 0) / 7
test026_1.jpg;N 9652DF;N 9652 DF;0.125;CER = (0 + 0 + 1) / 8
test026_2.jpg;L 3836 ZX;L3836ZX;0.2222;CER = (0 + 2 + 0) / 9
test027_1.jpg;N 1905 IG;N 1905 IG;0.0;CER = (0 + 0 + 0) / 9
test027_2.jpg;B 1109 CLR;B 1109 CLR;0.0;CER = (0 + 0 + 0) / 10
test027_3.jpg;L 1840 AA;L1840AA;0.2222;CER = (0 + 2 + 0) / 9
test028_1.jpg;L 1438 EO;L1438E0;0.3333;CER = (1 + 2 + 0) / 9
test028_2.jpg;L 1436 AAA;L1436 AAA;0.1;CER = (0 + 1 + 0) / 10
test029_1.jpg;W 1518 WF;W1518 MF;0.2222;CER = (1 + 1 + 0) / 9
test029_2.jpg;G 1986 N;G1986N;0.25;CER = (0 + 2 + 0) / 8
test029_3.jpg;L 1588 OO;L 1588 00;0.2222;CER = (2 + 0 + 0) / 9
test029_4.jpg;L 1436 AAA;L 1436 AAA;0.0;CER = (0 + 0 + 0) / 10
test030_1.jpg;S 8062 NF;8062 NF;0.2222;CER = (0 + 2 + 0) / 9
test030_2.jpg;G 1894 TE;G1894TE0325;0.6667;CER = (0 + 2 + 4) / 9
test031_1.jpg;L 1560 JQ;L1560JQ;0.2222;CER = (0 + 2 + 0) / 9
test031_2.jpg;L 1568 QO;L1568Q0;0.3333;CER = (1 + 2 + 0) / 9
test031_3.jpg;L 1932 AAZ;L1932AAZ;0.2;CER = (0 + 2 + 0) / 10
test032_1.jpg;B 2754 SKY;B'2754 SKY;0.1;CER = (1 + 0 + 0) / 10
test032_2.jpg;W 1192 K;W1192K;0.25;CER = (0 + 2 + 0) / 8
test033_1.jpg;L 4561 VK;L 4561 VK;0.0;CER = (0 + 0 + 0) / 9
test033_2.jpg;L 2693 GA;L2693CA;0.3333;CER = (1 + 2 + 0) / 9
test033_3.jpg;W 9847 G;W9847G;0.25;CER = (0 + 2 + 0) / 8
test033_4.jpg;L 1762 ABJ;1762 ABJ;0.2;CER = (0 + 2 + 0) / 10
test034_1.jpg;L 1811 SU;L1811SU;0.2222;CER = (0 + 2 + 0) / 9
test034_2.jpg;W 1167 VO;H 1167 VB;0.2222;CER = (2 + 0 + 0) / 9
test034_3.jpg;S 6131 OCF;S 6131 OCF;0.0;CER = (0 + 0 + 0) / 10
test034_4.jpg;L 2570 AAD;L 2570 AAD;0.0;CER = (0 + 0 + 0) / 10
test035_1.jpg;L 9643 NN;L·9643·NN;0.2222;CER = (2 + 0 + 0) / 9
test035_2.jpg;L 5247 GI;L5247CI;0.3333;CER = (1 + 2 + 0) / 9
test035_3.jpg;L 2498 AAM;L2498AAH;0.3;CER = (1 + 2 + 0) / 10
test035_4.jpg;W 1696 YO;W 1696 YO;0.0;CER = (0 + 0 + 0) / 9
test036_1.jpg;B 1231 JJA;B1231 JJA;0.1;CER = (0 + 1 + 0) / 10
test036_2.jpg;B 1618 UAE;B1618UAE;0.2;CER = (0 + 2 + 0) / 10
test037_1.jpg;L 1775 VO;1775 V0;0.3333;CER = (1 + 2 + 0) / 9
test037_2.jpg;L 300 RX;L300RX;0.25;CER = (0 + 2 + 0) / 8
test037_3.jpg;L 1879 VG;L1879VC;0.3333;CER = (1 + 2 + 0) / 9
test038_1.jpg;D 1523 YCN;D1523 YCN;0.1;CER = (0 + 1 + 0) / 10
test038_2.jpg;L 1877 ACU;L1877ACU02-28;0.7;CER = (0 + 2 + 5) / 10
test039_1.jpg;L 1069 VK;L 1069 VK;0.0;CER = (0 + 0 + 0) / 9
test040_1.jpg;S 1595 LL;S 1595 LL;0.0;CER = (0 + 0 + 0) / 9
test041_1.jpg;B 1231 JJA;1231 JJA;0.2;CER = (0 + 2 + 0) / 10
test042_1.jpg;AD 1174 SF;AD1174SF;0.2;CER = (0 + 2 + 0) / 10
test043_1.jpg;W 1898 YW;W·1898.YW;0.2222;CER = (2 + 0 + 0) / 9
test043_2.jpg;W 1470 PG;W 1470 PG;0.0;CER = (0 + 0 + 0) / 9
test044_1.jpg;L 1930 KF;L1930KF;0.2222;CER = (0 + 2 + 0) / 9
test044_2.jpg;N 1004 HE;N 1004 HE;0.0;CER = (0 + 0 + 0) / 9
test045_1.jpg;S 1347 LJ;S1347LJ;0.2222;CER = (0 + 2 + 0) / 9
test046_1.jpg;L 1470 ABK;L1470ABK;0.2;CER = (0 + 2 + 0) / 10
test046_2.jpg;L 1265 MX;L 1265 MX;0.0;CER = (0 + 0 + 0) / 9
test047_1.jpg;N 1524 SY;N 1524 SY;0.0;CER = (0 + 0 + 0) / 9
test047_2.jpg;L 1678 ACE;L1678ACE;0.2;CER = (0 + 2 + 0) / 10
test048_1.jpg;L 9316 BC;L 9316 BC;0.0;CER = (0 + 0 + 0) / 9
test048_2.jpg;W 1838 AY;W 1838 AY;0.0;CER = (0 + 0 + 0) / 9
test049_1.jpg;N 1376 DE;N 1376 DE;0.0;CER = (0 + 0 + 0) / 9
test049_2.jpg;N 79 AP;N 79 AP;0.0;CER = (0 + 0 + 0) / 7
test050_1.jpg;L 1265 OF;L1265 OF;0.1111;CER = (0 + 1 + 0) / 9
test050_2.jpg;N 1095 G;N1095G;0.25;CER = (0 + 2 + 0) / 8
test051_1.jpg;N 1718 HC;N 1718 HC;0.0;CER = (0 + 0 + 0) / 9
test052_1.jpg;N 6497 KS;N 6497 KS;0.0;CER = (0 + 0 + 0) / 9
test052_2.jpg;N 5235 ABX;N 5235 ABX;0.0;CER = (0 + 0 + 0) / 10
test052_3.jpg;N 4980 KJ;N4980KJ;0.2222;CER = (0 + 2 + 0) / 9
test053_1.jpg;N 1365 AAO;N1365AA0;0.3;CER = (1 + 2 + 0) / 10
test054_1.jpg;N 1077 AAK;N 1077 AAK;0.0;CER = (0 + 0 + 0) / 10
test054_2.jpg;N 1084 AAO;N 1084 AA0;0.1;CER = (1 + 0 + 0) / 10
test055_1.jpg;N 1610 KS;N 1610 KS 07-27;0.6667;CER = (0 + 0 + 6) / 9
test056_1.jpg;N 924 CIA;924 CIA;0.2222;CER = (0 + 2 + 0) / 9
test056_2.jpg;N 1623 HB;N1623HB;0.2222;CER = (0 + 2 + 0) / 9
test056_3.jpg;L 1430 HF;L1430 HF;0.1111;CER = (0 + 1 + 0) / 9
test057_1.jpg;N 1342 T;N1342T;0.25;CER = (0 + 2 + 0) / 8
test057_2.jpg;N 4145 AB;H·4145 AB;0.2222;CER = (2 + 0 + 0) / 9
test057_3.jpg;N 1396 AAH;N 1396 AAH;0.0;CER = (0 + 0 + 0) / 10
test058_1.jpg;N 3153 ACB;N'3153 ACB;0.1;CER = (1 + 0 + 0) / 10
test058_2.jpg;N 5829 KJ;265829KJ;0.3333;CER = (2 + 1 + 0) / 9
test058_3.jpg;N 1780 JL;N 1780 JL;0.0;CER = (0 + 0 + 0) / 9
test059_1.jpg;W 8774 PA;W 8774 PA;0.0;CER = (0 + 0 + 0) / 9
test059_2.jpg;B 9162 FXU;B·9162 FXU;0.1;CER = (1 + 0 + 0) / 10
test060_1.jpg;L 1846 JE ;L1846JE;0.2222;CER = (0 + 2 + 0) / 9
test060_2.jpg;M 1457 ITA;M 1457 ITA;0.0;CER = (0 + 0 + 0) / 10
test061_1.jpg;AA 1971 KJ;AA 1971 KJ;0.0;CER = (0 + 0 + 0) / 10
test061_2.jpg;BD 1146 DH;BD 1146 DH;0.0;CER = (0 + 0 + 0) / 10
test062_1.jpg;B 9654 PEU;B·9654·PEU;0.2;CER = (2 + 0 + 0) / 10
test062_2.jpg;AE 7244 S;AE7244S;0.2222;CER = (0 + 2 + 0) / 9
test063_1.jpg;S 1208 BI;S 1208 BI;0.0;CER = (0 + 0 + 0) / 9
test064_1.jpg;AE 8137 G;AE 8137 G;0.0;CER = (0 + 0 + 0) / 9
test065_1.jpg;H 1706S W;H 1706 SW;0.2222;CER = (0 + 1 + 1) / 9
test066_1.jpg;T 1220 HS;124U GS-27;0.8889;CER = (3 + 2 + 3) / 9
test066_2.jpg;H 1790 ZY;H1790ZY;0.2222;CER = (0 + 2 + 0) / 9
test067_1.jpg;L 1855 BR;1855 BR;0.2222;CER = (0 + 2 + 0) / 9
test067_2.jpg;AB 1274 EV;AB1274EV;0.2;CER = (0 + 2 + 0) / 10
test068_1.jpg;B 2310 UZS;B 2310 UZS;0.0;CER = (0 + 0 + 0) / 10
test068_2.jpg;G 1264 CM;G·1264·CM;0.2222;CER = (2 + 0 + 0) / 9
test069_1.jpg;AA 1138 AK;AA 1138 AK;0.0;CER = (0 + 0 + 0) / 10
test070_1.jpg;B 2160 TOB;B 2160 TOB;0.0;CER = (0 + 0 + 0) / 10
test070_2.jpg;B 2597 BYK;B 2597 BYK;0.0;CER = (0 + 0 + 0) / 10
test071_1.jpg;G 9545 AG;G 9545 AG;0.0;CER = (0 + 0 + 0) / 9
test072_1.jpg;BG 1870 IB;BG 1870 IB;0.0;CER = (0 + 0 + 0) / 10
test073_1.jpg;T 1187 HB;T1187HB;0.2222;CER = (0 + 2 + 0) / 9
test073_2.jpg;A 1330 FP;A 1330 FP;0.0;CER = (0 + 0 + 0) / 9
test074_1.jpg;G 1368 GE;G1368GE;0.2222;CER = (0 + 2 + 0) / 9
test074_2.jpg;B 1081 CMR;B.1081.CMR;0.2;CER = (2 + 0 + 0) / 10
test075_1.jpg;G 2474 XZ;G 2474 XZ;0.0;CER = (0 + 0 + 0) / 9
test075_2.jpg;G 9173 BP;G 9173 BP;0.0;CER = (0 + 0 + 0) / 9
test075_3.jpg;7066 OF;7002F;0.5714;CER = (2 + 2 + 0) / 7
test076_1.jpg;G 2151 ASF;G 2151 ASF;0.0;CER = (0 + 0 + 0) / 10
test076_2.jpg;E 500 MA;E 500 MA;0.0;CER = (0 + 0 + 0) / 8
test076_3.jpg;G 4689 SN;G 4689 SN;0.0;CER = (0 + 0 + 0) / 9
test077_1.jpg;G 1754 QZ;G1754 OZ;0.2222;CER = (1 + 1 + 0) / 9
test078_1.jpg;H 1413 DH;H 1413 DH;0.0;CER = (0 + 0 + 0) / 9
test079_1.jpg;T 1688 GY;T1688GY;0.2222;CER = (0 + 2 + 0) / 9
test079_2.jpg;A 1260 AJ;A 1260 AJ;0.0;CER = (0 + 0 + 0) / 9
test080_1.jpg;D 77 HSB;D77 HSB;0.125;CER = (0 + 1 + 0) / 8
test080_2.jpg;B 1861 TOI;B1961T01;0.5;CER = (3 + 2 + 0) / 10
test080_3.jpg;D 1160 ADE;D 1160 ADE;0.0;CER = (0 + 0 + 0) / 10
test081_1.jpg;F 8097 BD;F 8097 BD;0.0;CER = (0 + 0 + 0) / 9
test081_2.jpg;F 1992 AM;F1992HX;0.4444;CER = (2 + 2 + 0) / 9
test082_1.jpg;E 1824 YZ;E 1824 YZ;0.0;CER = (0 + 0 + 0) / 9
test082_2.jpg;B 9093 UEX;B 9093 UEX;0.0;CER = (0 + 0 + 0) / 10
test083_1.jpg;F 5052 AAE;F 5052 AAAE;0.1;CER = (0 + 0 + 1) / 10
test083_2.jpg;F 5452 CQ;F 5452 CO;0.1111;CER = (1 + 0 + 0) / 9
test084_1.jpg;B 1158 PYP;B 1158 PYP;0.0;CER = (0 + 0 + 0) / 10
test084_2.jpg;B 1242 VOY;B 1242 VOY;0.0;CER = (0 + 0 + 0) / 10
test085_1.jpg;B 1315 KIF;B 1315 KIF;0.0;CER = (0 + 0 + 0) / 10
test085_2.jpg;B 2938 FVJ;B 2938 FVJ;0.0;CER = (0 + 0 + 0) / 10
test085_3.jpg;B 2560 SKZ;B 2560 SKZ;0.0;CER = (0 + 0 + 0) / 10
test086_1.jpg;B 1291 NOJ;B1291N0J;0.3;CER = (1 + 2 + 0) / 10
test086_2.jpg;B 1556 NRC;B 1556 NRC;0.0;CER = (0 + 0 + 0) / 10
test087_1.jpg;B 6823 WXR;B.6823 WXR;0.1;CER = (1 + 0 + 0) / 10
test087_2.jpg;B 6317 NXK;B 6317 NXK;0.0;CER = (0 + 0 + 0) / 10
test087_3.jpg;F 2215 FCQ;F 2215 FCO;0.1;CER = (1 + 0 + 0) / 10
test087_4.jpg;4039 NHR;4039 NHR;0.0;CER = (0 + 0 + 0) / 8
test088_1.jpg;B 2190 TYB;B 2190 TYB;0.0;CER = (0 + 0 + 0) / 10
test088_2.jpg;B 1902 VKA;B 1902 VKA;0.0;CER = (0 + 0 + 0) / 10
test089_1.jpg;D 8609 N;8609;0.5;CER = (0 + 4 + 0) / 8
test089_2.jpg;A 8406 ZE;A .8406. ZE G8 28;0.8889;CER = (0 + 0 + 8) / 9
test089_3.jpg;B 1246 KRK;B 1246 KRK;0.0;CER = (0 + 0 + 0) / 10
test090_1.jpg;T 9314 E;T9314·E;0.25;CER = (1 + 1 + 0) / 8
test090_2.jpg;N 9579 U;N·0579·U;0.375;CER = (3 + 0 + 0) / 8
test091_1.jpg;B 2910 KZW;B 2910 KZW;0.0;CER = (0 + 0 + 0) / 10
test091_2.jpg;B 9721 KXV;B 9721 KXV;0.0;CER = (0 + 0 + 0) / 10
test092_1.jpg;B 1104 AAA;B 11.04 AAA;0.1;CER = (0 + 0 + 1) / 10
test092_2.jpg;T 1579 FN;T'1579 FN;0.1111;CER = (1 + 0 + 0) / 9
test092_3.jpg;B 2346 POC;B 2346 P0C;0.1;CER = (1 + 0 + 0) / 10
test093_1.jpg;B 2026 BIU;B2026BIU;0.2;CER = (0 + 2 + 0) / 10
test094_1.jpg;G 1255 EJ;G1255EJ;0.2222;CER = (0 + 2 + 0) / 9
test095_1.jpg;B 1201 KAD;B 1201 KAD;0.0;CER = (0 + 0 + 0) / 10
test095_2.jpg;B 2310 JUK;B 2310 JUK;0.0;CER = (0 + 0 + 0) / 10
test095_3.jpg;B 28Y HH;B28YHH;0.25;CER = (0 + 2 + 0) / 8
test096_1.jpg;B 1354 COJ;B1354C0J;0.3;CER = (1 + 2 + 0) / 10
test096_2.jpg;B 1502 NRO;B 1502 NRO;0.0;CER = (0 + 0 + 0) / 10
test097_1.jpg;B 1650 NOG;B1650N0G;0.3;CER = (1 + 2 + 0) / 10
test097_2.jpg;B 6354 SVL;B6354 SVL;0.1;CER = (0 + 1 + 0) / 10
test098_1.jpg;B 1779 DOB;B 1779 DOB;0.0;CER = (0 + 0 + 0) / 10
test099_1.jpg;B 2017 PBQ;B 2017 PBQ;0.0;CER = (0 + 0 + 0) / 10
test099_2.jpg;B 1892 WZT;B 1892 WZT;0.0;CER = (0 + 0 + 0) / 10
test100_1.jpg;B 1071 PRG;B 1071 PRG;0.0;CER = (0 + 0 + 0) / 10
test100_2.jpg;B 2134 PZJ;B 2134 PZJ;0.0;CER = (0 + 0 + 0) / 10
